Response Identifier,StartDate,EndDate,Status,Progress,Duration__in_seconds_,Finished,RecordedDate,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Consent,S1_live_work_1,S1_live_work_2,S1_live_work_3,S1_live_work_4,S1_live_work_5,S2_race_ethnicity_1,S2_race_ethnicity_2,S2_race_ethnicity_3,S2_race_ethnicity_4,S2_race_ethnicity_5,S2_race_ethnicity_6,S2_race_ethnicity_7,S2_race_ethnicity_7_TEXT,S3_18age,Q77,Q1_no_of_jobs,Q2_sector_precovid_1,Q2_sector_precovid_2,Q2_sector_precovid_3,Q2_sector_precovid_4,Q2_sector_precovid_5,Q2_sector_precovid_6,Q2_sector_precovid_7,Q2_sector_precovid_8,Q2_sector_precovid_9,Q2_sector_precovid_10,Q2_sector_precovid_9_TEXT,Q2_sector_precovid_10_TEXT,Q3_discrimination,Q4_laidoff,Q5_laidoff_prejudice,Q6_return_to_work_op,Q7_otherjobs,Q8_get_other_job,Q9_current_sector_1,Q9_current_sector_2,Q9_current_sector_3,Q9_current_sector_4,Q9_current_sector_5,Q9_current_sector_6,Q9_current_sector_7,Q9_current_sector_8,Q9_current_sector_9,Q9_current_sector_10,Q9_current_sector_9_TEXT,Q9_current_sector_10_TEXT,Q10_work_status,Q11_hours_change,Q12_conditions_chang,Q13_employer_offers_1,Q13_employer_offers_2,Q13_employer_offers_3,Q13_employer_offers_4,Q13_employer_offers_5,Q13_employer_offers_6,Q13_employer_offers_7,Q13_employer_offers_8,Q13_employer_offers_9,Q13_employer_offers_10,Q13_employer_offers_11,Q13_employer_offers_12,Q13_employer_offers_13,Q13_employer_offers_14,Q13_employer_offers_14_TEXT,Q14_work_location,Q15_remote_accom,Q16_onsite_safety,Q17_worker_laws_1,Q17_worker_laws_2,Q17_worker_laws_3,Q17_worker_laws_4,Q17_worker_laws_5,Q17_worker_laws_6,Q17_worker_laws_7,Q17_worker_laws_8,Q17_worker_laws_9,Q18_UI_applied,Q19_UI_applied_yes,Q20_UI_applied_no_1,Q20_UI_applied_no_2,Q20_UI_applied_no_3,Q20_UI_applied_no_4,Q21_looking_for_opps_1,Q21_looking_for_opps_2,Q21_looking_for_opps_3,Q21_looking_for_opps_4,Q21_looking_for_opps_5,Q21_looking_for_opps_4_TEXT,Q22_covid_testing,Q22_covid_testing_7_TEXT,Q23_poscovid_cowork,Q23_poscovid_cowork_1_TEXT,Q24_vaccine,Q25_no_vaccine_yet_1,Q25_no_vaccine_yet_2,Q25_no_vaccine_yet_3,Q25_no_vaccine_yet_4,Q25_no_vaccine_yet_5,Q26_respect,Q26_respect_2_TEXT,Q27_homerole_changes_1,Q27_homerole_changes_2,Q27_homerole_changes_3,Q27_homerole_changes_4,Q27_homerole_changes_5,Q27_homerole_changes_6,Q27_homerole_changes_7,Q27_homerole_changes_6_TEXT,Q28_housing_challeng,Q29_food_needs_met,Q30_financial_aid_1,Q30_financial_aid_2,Q30_financial_aid_3,Q30_financial_aid_4,Q30_financial_aid_5,Q30_financial_aid_6,Q30_financial_aid_5_TEXT,Q31_federal_stimulus,Q31_federal_stimulus_4_TEXT,Q32_stress_level_1,Q34_year_born,Q35_zipcode,Q36_gender_1,Q36_gender_2,Q36_gender_3,Q36_gender_4,Q36_gender_5,Q36_gender_6,Q36_gender_5_TEXT,Q37_kids_at_home,Q37_kids_at_home_1_TEXT,Q38_income,Validity,Five_min_flag,Ten_min_flag,Not_in_CA_Flag,Flag_Qualtrics_Bot,Flag_Qualtrics_Duplicate,Flag_Qualtrics_Fraud,Duplicate_IP,InDupGrp
520,5/24/21 18:50,5/24/21 19:12,0,100,1341,1,5/24/21 19:12,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,3, , , , , , , , , ,1, ,Aerspace,1,4, , , , , , , , , , , , , ,1, ,Aerospace,1,3,1,1,1,1, , ,1,1,1,1,1,1, , , , ,2, ,2,1,1,1,1,1,1,1,1,1,2, , , , ,1,1, , , , , ,3, ,1,2,2, , , , , ,2,Yes, , ,1,1,1, , , , ,1, , , , , , , , , ,4,1963,90746, ,1, , , , , ,2, ,6,1, , , , , , ,0,
521,5/24/21 18:57,5/24/21 19:07,0,100,630,1,5/24/21 19:07,EN,1, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2, , , , ,1, , , , , , , ,2,4, , , , , , , , ,1, , , , , , , ,1,3,1, ,1, , , , , , , , , , , , , ,1,1, ,1, , , , ,1, ,1,1,2, , , , ,1, , , , ,1, ,3, ,2, ,2, , , , , ,1, , , , , , , ,1, ,2,1,1, , , , , , , , ,1,1961,90019,1, , , , , , ,2, ,7,1, , , , , , ,0,
522,5/24/21 19:00,5/24/21 19:08,0,100,446,1,5/24/21 19:08,EN,0.7, , , ,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2, , , , , , , , , ,1, ,Audio Sound,2,1, ,1, , , , , , , , , , , , , , ,4,2,2, , , , , , , , , , , , ,1, , ,2, ,1, , , , , , , , , ,1,2, , , , ,1, , , , , ,2, , , ,3, , , ,1, , , , ,1, , , , , , ,2,3, , , , , ,1, , , ,4,1991,90008,1, , , , , , ,2, ,3,1, ,1, , , , ,0,
523,5/24/21 19:18,5/24/21 19:48,0,100,1841,1,5/24/21 19:48,EN,1, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,4, , , ,1, , , , , ,1, ,"Sports, Events, Entertainment",2,3, ,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,1, , , ,1,1, , , , , , , ,1, ,In the public and private sectors,6, , , ,3, , , ,1, , , , ,1,1, , , , , ,1,1,1, , , , , , , , ,1,1982,90303, ,1, , , , , ,2, ,3,1, , , , , , ,0,
524,5/24/21 19:18,5/24/21 19:29,0,100,634,1,5/24/21 19:29,EN,1, ,0,0,10/14/1582 0:00:00,1, , , ,1, , , ,1, , , , , ,1, ,2,1, , , , , , , , , , , ,2,4, , , , ,1, , , , , , , , , , , ,1,3,1,1,1,1, , ,1,1,1,1, , , , , , ,1,1, ,1,1, , ,1,1, ,1,1,2, , , , ,1, , , , ,1, ,4, ,1,I'm not sure.,2, , , , , ,1, , , , , , , ,1, ,2,1,1, , , , , , , , ,2,1970,91915,1, , , , , , ,2, ,6,1, , , , , , ,0,
525,5/24/21 19:42,5/24/21 19:48,0,100,315,1,5/24/21 19:48,EN,1, ,0,0,10/14/1582 0:00:00,1, ,1, , , , , ,1, , , , , ,1, ,3, , , , ,1, , , , , , , ,1,1,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1, , , , , , ,1,1, , , , ,1, , , , , ,6, , , ,3, , , ,1, , , ,1, , , ,1, , , ,2,3,1, , , , , , , , ,4,1979,92404, ,1, , , , , ,2, ,4,1, ,1, , , , ,0,
526,5/24/21 19:43,5/24/21 19:59,0,100,971,1,5/24/21 19:59,EN,0.9, ,0,0,10/14/1582 0:00:00,1, , , , , , , ,1, , , , , ,1, ,2, , ,1, , , , , , , , , ,1,1,1,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , , ,1,1,1, , , , , ,4, , , ,2, , , , , , , ,1,1, ,1,1, , , ,1,2,1, , , , , , , , ,5,1959,92392,1, , , , , , ,2, ,3,1, , , , , , ,0,
527,5/24/21 20:12,5/24/21 20:19,0,100,417,1,5/24/21 20:19,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,3,1, , , , ,1, , ,1, , , ,2,4, , , , , , , , , , , , , ,1, ,Not working due to no child care,2,2,1,1, , , , ,1,1,1,1,1,1, , , , ,2, ,1,1,1, , , , , , , ,1,3, , , , , , , ,1, ,Social field,4, ,1,2,3, , , ,1,1,1, ,1,1, , , , , , ,2,1,1,1, , , , , , , ,4,1985,90002, ,1, , , , , ,1,3,2,1, ,1, , , , ,0,
528,5/24/21 20:18,5/24/21 20:25,0,100,393,1,5/24/21 20:25,EN,0.9, ,0,0,10/14/1582 0:00:00,1, ,1, , , , , ,1, , , , , ,1, ,2, , , , , ,1, , , , , , , ,1, ,1, , , , ,1, , , , , , , , , ,3,4,1,1, , , , , , , ,1, ,1, , , , , , , ,1, , , , , , , , ,2, ,1, , , ,1, , , , , ,2, , , ,2, , , , , , , , ,1, , ,1, , , , ,3,1, , , , , , , , ,3,1990,92394,1, , , , , , ,2, ,3,1, ,1, , , , ,0,
529,5/24/21 20:36,5/24/21 20:44,0,100,479,1,5/24/21 20:44,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2,1, , , , , , , , , , , ,2,4, , , , , , , , , , , , , , , , ,1,3,1,1,1,1, , ,1,1,1,1,1,1, , , , ,2, ,2, ,1,1, , ,1,1, ,1,2, , , , ,1, , , , ,1, ,1, ,1,3,2, , , , , ,1, , , ,1,1, , , , ,2,1, , , , , ,1, ,4,Don’t qualify due to income,2,1968,90303, ,1, , , , , ,2, ,8,1, ,1,1, , , ,0,
530,5/24/21 20:41,5/24/21 21:05,0,100,1447,1,5/24/21 21:05,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,4,1,1, , , , , , , , , , ,1,1,1,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,1,1, ,1, , , ,1, , ,2, ,2, ,2, , , , , ,1, ,1,1,1,1,1, , , ,1,3, , , , , ,1, ,4, ,5,1974,90044,1, , , , , , ,2, ,3,1, , , , , , ,0,
531,5/24/21 21:32,5/24/21 21:42,0,100,606,1,5/24/21 21:42,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2, , , , ,1, , , , , , , ,1,4, , , , , , , , ,1, , , , , , , ,1,3,2, , , , , , , , , , , , , , , ,1,2, , , , , , , , , , ,2, , , , ,1, , , , ,1, ,2, ,2, ,3, , , ,1, ,2,My school won’t communicate with me in regards to our new union contract,1, , , , , , , ,2,1, , , , , ,1, , , ,3,1967,90047,1, , , , , , ,2, ,9,1, , , , , , ,0,
532,5/24/21 21:33,5/24/21 21:39,0,100,352,1,5/24/21 21:39,EN,1, ,0,0,10/14/1582 0:00:00,1, , ,1, , , , ,1, , , , , ,1, ,1, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , ,1, , ,1,2, , , , ,1, , , , ,1, ,2, , , ,1, , , , , , , ,1, , , , , , , ,2,1,1, , , , , , , , ,4,1956,92563, ,1, , , , , ,1,1,7,1, ,1, , , , ,0,
533,5/24/21 23:04,5/24/21 23:24,0,100,1182,1,5/24/21 23:24,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2, , , , , , , , ,1, ,Strategic Marketing Consultant, ,2,2, ,2, ,1, , , , , , , , , ,1, ,Temporary work,3,4,1,1, , , , , , , ,1, , , , , , ,2, ,2, , , , , , , , , ,2, , , , ,1,1, , ,1, ,all sectors,2, ,2, ,2, , , , , ,2,"No problems experienced during temporary work, which ended in December 2020.", , ,1, , , , , ,1,1,1, , , , , , , , ,5,1958,91105, ,1, , , , , ,2, ,4,1, , , , , , ,0,
534,5/24/21 23:29,5/24/21 23:34,0,100,281,1,5/24/21 23:34,EN,1,TRUE,100,0,5/24/21 18:20,1, , , ,1, , , ,1, , , , , ,1, ,2,1, , , , , , , , , , , ,1,4, , , , ,1, , , , , , , , , , , ,1,4, ,1,1, , , ,1,1,1,1,1,1, , , , ,2, ,2,1,1,1, , , , , , ,1,4, , , , ,1, , , , , ,1, ,1,3,2, , , , , ,1, , , , , , , ,1, ,2,1,1, , , , , , , , ,3,1981,91977, ,1, , , , , ,2, ,4,1,1,1, , ,1, ,0,
535,5/25/21 1:41,5/25/21 1:48,0,100,405,1,5/25/21 1:48,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2, , , ,1, , , , , , , , ,1,1,3,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,1, , ,1,1,1, , , , ,1, , , , , ,3, , , ,3, , , ,1, , , , ,1, , , , , , ,2,3,1, , , , , , , , ,3, ,90249, ,1, , , , , ,2, ,3,1, ,1, , , , ,0,
536,5/25/21 9:45,5/25/21 9:54,0,100,582,1,5/25/21 9:54,EN,1, ,0,0,10/14/1582 0:00:00,1, ,1, , , , , ,1, , , , , ,1, ,2, , , , , , , , , ,1, ,Government,2,4, , , , , , , , , , , , , ,1, ,Government,1,3,1, , , , , , ,1, ,1, , , , , , ,2, ,1,1,1, , , , , , , ,2, , , , ,1, , , , ,1, ,2, ,1,2,1, , , , , ,1, ,1,1, , ,1, , , ,2,1,1, , , , , , , , ,4,1978,92277,1, , , , , , ,1,1,5,1, ,1, , , , ,0,
537,5/25/21 11:01,5/25/21 11:11,0,100,600,1,5/25/21 11:11,EN,1, ,0,0,10/14/1582 0:00:00,1, , ,1, , , , ,1, , , , , ,1, ,2,1, , , , , , , , , , , ,1,4, , , , , , , , , , , , , , , , , ,3,1,1,1,1, ,1,1,1,1,1,1,1, , , , ,2, ,1,1,1,1,1,1,1,1,1,1,2, , , , , , , , , , , ,1, , , ,2, , , , , ,1, , ,1, , , , , , ,2,1, , , , , ,1, ,4, ,3, ,91730,1, , , , , , ,2, ,8,1, , , , , , ,0,
538,5/25/21 11:04,5/25/21 11:47,0,100,2556,1,5/25/21 11:47,EN,0.9, ,0,0,10/14/1582 0:00:00,1, , , ,1, , , ,1, , , , , ,1, ,2, , , , , , ,1, , , , , ,2,4, , , , , , , , , , , , , , , , ,1,3,1,1,1,1, , ,1, , ,1, ,1, , , , ,2, ,2,1,1,1, , ,1, ,1,1,2, , , ,1, , , , , ,1, ,3, ,1,At least 10,2, , , , , ,1, , ,1,1, ,1, , , ,2,1, , , , , ,1, ,4,I did not qualify due to gross income,5,1072,91902, ,1, , , , , ,2, ,6,1, , , , , , ,0,
539,5/25/21 11:12,5/25/21 11:16,0,100,239,1,5/25/21 11:16,EN,1, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,4,1, , , , , , , , , , , ,2,3, ,1,1, ,1, , , , , , , , , , , ,1,1,1, ,1, , , , , , , , , , , , , ,2, ,2,1, , , , , , , , ,2, , , ,1, , , , , ,1, ,2, ,2, ,2, , , , , ,1, , , , , , , ,1, ,2,1,1, , , , , , , , ,3,1993,90044, ,1, , , , , ,2, ,3,1,1,1, , , , ,0,
540,5/25/21 11:21,5/25/21 11:28,0,100,430,1,5/25/21 11:28,EN,1, ,0,0,10/14/1582 0:00:00,1, , ,1, , , , ,1, , , , , ,1, ,2,1, , , , , , , , , , , ,2,4, , , , ,1, , , , , , , , , , , ,1,3,1,1,1,1, , ,1, ,1, , ,1, , , , ,2, ,1,1,1, , , ,1, , , ,2, , , ,1, , , , , ,1, ,2, ,1,10,3, , , ,1, ,1, ,1,1,1, ,1, , , ,1,1,1, , , , , , , , ,5,1985,92555, ,1, , , , , ,2, ,6,1, ,1, , , , ,0,
541,5/25/21 11:44,5/25/21 12:01,0,100,1007,1,5/25/21 12:01,EN,0.9, ,0,25,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2,1, , , , , , , , , , , ,1,4, , , , ,1, , , , , , , , , , , ,1,3,1,1,1, , , ,1,1, , , ,1, , , , ,2, ,1, , ,1, , , , , , ,2, , , ,1, , , , ,1, , ,1, ,1,"Several, not sure of the actual count",2, , , , , ,1, , ,1, , ,1, , , ,1,3,1, , , , , , , , ,5,1966,90045, ,1, , , , , ,2, ,5,1, , , , , , ,0,
542,5/25/21 11:54,5/25/21 12:21,0,100,1604,1,5/25/21 12:21,EN,0.7, , , ,10/14/1582 0:00:00,1, , ,1, , , , ,1, , , , , ,1, ,2, ,1, , , , , , , , , , ,2,4, , , , , ,1, , , , , , , , , , ,1,2,1,1, , , , ,1,1,1, ,1,1, , , , ,1,2, , , , , , , , , ,1,2, , , , ,1,1, , , , , ,2, ,2, ,2, , , , , ,1, , , , ,1, , , , ,1,3,1, , , , , , , , ,4,1955,9255,1, , , , , , ,2, ,4,1, , , , , , ,0,
543,5/25/21 12:01,5/25/21 12:10,0,100,523,1,5/25/21 12:10,EN,1,TRUE,100,0,5/22/21 0:16,1,1, , , , , , ,1, , , , , ,1, ,3, , , ,1, , , , , , , , , ,4, , , , , , , , , , , , , ,1, ,Cannabis,1,1, ,1, , , , , , , , , , , , , , ,2, ,1, , , , , , , , , ,2, , , ,1, , , , ,1, , ,2, ,1, ,3, , , ,1, ,2,"My job during the pandemic last year - they cut our pay for “business reason” bt on their site they advertise supporting black and brown businesses. Meanwhile their staff was all black and brown. When we asked for pandemic pay they also said plenty of people were looking for work so they weren’t giving us pandemic pay. I also got robbed on the job and in a car accident. I kept working b/c it was minor and I was fine, bt I didn’t feel like I had any options is why I continued to work", , , , , , ,1, ,2,1,1, , , , , , , , ,5,1992,90012, ,1, , , , , ,2, ,4,1, ,1, , ,1, ,0,
544,5/25/21 12:15,5/25/21 13:00,0,100,2699,1,5/25/21 13:00,EN,0.9, ,0,0,10/14/1582 0:00:00,1, , , ,1, , , ,1, , , , , ,1, ,2, , , , , , , , , ,1, ,Office assistant,2,1, ,1, , , , , , , , , , ,1,1,No I am not employed,No I am not working,4,2,2, , , , , , , , , , , ,1, , , ,2, ,1, , , , , , , , , ,2, , , , ,1, , , ,1, , ,2, , , ,1, , , , , , , ,1,1, , , , , , ,1,1, , , , , ,1, ,2, ,5,2002,92114, ,1, , , , , ,2, ,2,1, , , , , , ,0,
545,5/25/21 12:21,5/25/21 12:28,0,100,405,1,5/25/21 12:28,EN,1, ,0,0,10/14/1582 0:00:00,1, ,1, , , , , ,1, , , , , ,1, ,4,1, , , , , , , , , , , ,2,4, , , , ,1, , , , , , , , , , , ,1,3,1, , , ,1, ,1, , ,1, ,1, , , , , , , ,1,1,1, , , , , , ,2, , , ,1, , , , , ,1, ,1, ,1,2,1, , , , , ,1, ,1, , , , , , , ,2,1, , , , , ,1, , , ,3,1964,92395, ,1, , , , , ,1,1,4,1, ,1, , , , ,0,
546,5/25/21 12:27,5/25/21 12:47,0,100,1176,1,5/25/21 12:47,EN,1, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2, ,1,1, , , , , , , , , ,2,2, ,2, ,1, ,1, , , , , , , , , , ,2,3,2,1,1, , , , , , ,1, ,1, , , , ,2, ,1, , , , , , , , , ,1,1, , , , , , , ,1, ,Transportation,2, ,1,9,2, , , , , ,1, , , , , , , ,1, ,1,1,1, , , , , , , , ,4,1957,90262,1, , , , , , ,2, ,3,1, , , , , , ,0,
547,5/25/21 12:40,5/25/21 12:45,0,100,342,1,5/25/21 12:45,EN,1, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2, , , , ,1, , , ,1, ,Owner of a STEM lan, ,2,4, , , , , , , , ,1, , , ,1, ,Stem lab owner, ,1,1,2, , , , , , , , , , , , ,1, , ,2, ,2, , , , , , , , , ,2, , , ,1, , , , , ,1, ,2, ,2, ,2, , , , , ,1, , , , , , , ,1, ,2,1,1, , , , , , , , ,2,1949,90043,1, , , , , , ,2, ,4,1, ,1, , , , ,0,
548,5/25/21 12:46,5/25/21 12:51,0,100,340,1,5/25/21 12:51,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2, , , , , , ,1, , , , , , ,4, , , , , , , , , , , , , , , , ,1,1,2,1,1,1,1, ,1, , , , ,1, , , , ,2, ,2,1, , , , , , , , ,2, , , ,1, , , , , ,1, ,1, ,1,4,3, , , ,1, ,1, , , , , , , ,1, ,2,1, , , , , ,1, ,1, ,1,1984,90813, ,1, , , , , ,1,1,3,1, ,1, , , , ,0,
549,5/25/21 13:15,5/25/21 13:31,0,100,966,1,5/25/21 13:31,EN,1, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,1, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,1, , , , , ,1, ,4, , , ,2, , , , , , , , , , , ,1, , , ,1,3,1, , , ,1, ,The stimulus helped but we get so behind in things in food prices went sky high I just think God for all what I can receive in and if somebody can help me with more it will be a blessing thank you, , ,1,1962,90003, ,1, , , , , ,2, ,2,1, , , , , , ,0,
550,5/25/21 13:37,5/25/21 13:51,0,100,845,1,5/25/21 13:51,EN,0.9, ,0,0,10/14/1582 0:00:00,1, , , ,1, , , ,1, , , , , ,1, ,4, , ,1, , , ,1, , , , , ,2,4, , , , ,1, , , , , , , , , , , ,3,2,1,1,1, , , , , , , , ,1, , , , ,2, ,1,1, , , , ,1, , , ,2, , , , , , , , ,1, , ,4, ,2, ,2, , , , , ,1, , , , , ,1, , , , ,1,1, , , , , , , , ,5,1948,92114,1, , , , , , ,2, ,3,1, , ,1, , , ,0,
551,5/25/21 13:51,5/25/21 14:04,0,100,821,1,5/25/21 14:04,EN,1, ,0,0,10/14/1582 0:00:00,1, , , ,1, , , ,1, , , , , ,1, ,2, , , , , , , , , ,1, ,Insurance,2,4, , , , , , , , , , , , , , , , ,1,3,1, , , , , ,1, ,1,1, ,1, , , , ,2, ,1,1,1,1,1,1,1,1,1,1,2, , , , ,1, , , , ,1, , , ,1,2,2, , , , , ,1, , , , , , , ,1, ,1,1,1, , , , , , , , ,3,1956,91977,1, , , , , , ,1,1,3,1, , , , , , ,0,
552,5/25/21 13:54,5/25/21 14:00,0,100,387,1,5/25/21 14:00,EN,1, ,0,0,10/14/1582 0:00:00,1, , , ,1, , , ,1, , , , , ,1, ,2, , , , , , , , , ,1, ,Pastor,2,4, , , , , , , , , , , , , ,1, ,Pastor,1,4,1,1,1, , , ,1,1,1,1, , , , , , ,1,2, ,1, , ,1, ,1, ,1,1,2, , , , ,1, , , , ,1, ,3, ,1,30-50,3, , , , ,1,1, , , , , , , ,1, ,2,1,1, , , , , , , , ,2,1990,91942,1, , , , , , ,1,1,5,1, ,1, , , , ,0,
553,5/25/21 14:00,5/25/21 14:11,0,100,651,1,5/25/21 14:11,EN,1, ,0,0,10/14/1582 0:00:00,1, , , ,1, , , ,1, , , , , ,1, ,2, ,1, , , , , , , , , , ,2,4, , , , , , , , , , , , , ,1, ,Not working due to covid, , ,1, , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1,1, , , , , , , ,1, , ,2, ,2, ,2, , , , , ,1, , , ,1, , , , , , ,1,1, , , , , , , , ,1,1953,91945,1, , , , , , ,2, ,2,1, , , , , , ,0,
554,5/25/21 15:24,5/25/21 15:44,0,100,1224,1,5/25/21 15:44,EN,0.9, ,0,0,10/14/1582 0:00:00,1, ,1, , , , , ,1, , , , , ,1, ,2, ,1, , , , , , , , , , ,1,2,1,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , ,1, , ,4, , , ,2, , , , , , , , , , , ,1, , , ,2,3,1, , , , , , , , ,5,1985,92376,1, , , , , , ,2, ,3,1, , , , , , ,0,
555,5/25/21 15:44,5/25/21 16:02,0,100,1130,1,5/25/21 16:02,EN,1, ,0,0,10/14/1582 0:00:00,1, ,1, , , , , ,1, , , , , ,1, ,2, , , , ,1, , , , , , , ,1,4, , , , , , , , , , , , , ,1, ,Retired,4,4,2, , , , , , , , , , , , , ,1,Retired,1,2, , , , , , , , , ,1,2, , , , ,1, , , , ,1, ,7,Health departmeny,2, ,2, , , , , ,1, , , , , , ,1, ,Just had to stay in house no bisitors,2,1,1, , , , , , , , ,5,1955,92324, ,1, , , , , ,2, ,4,1, , , , , , ,0,
556,5/25/21 18:16,5/25/21 18:34,0,100,1048,1,5/25/21 18:34,EN,0.9, ,0,0,10/14/1582 0:00:00,1, ,1, , , , , ,1, , , , , ,1, ,2, , , , ,1, , , , , , , ,2,4, , , , , , , , ,1, , , , , , , ,1,3,1, ,1,1, , , , ,1,1, , , , , , ,2, ,2, , ,1, , , , , , ,2, , , ,1, ,1, , , , , ,2, ,1,6 out of 9,2, , , , , ,2,Our company did not do a survey on how employees were doing during the height of the pandemic.  They did not inform us by email or meetings what benefits we could qualify for., ,1,1, , , , , ,2,1,1, , , , , , , , ,4,1969,92336, ,1, , , , , ,2, ,4,1, , , , , , ,0,
557,5/25/21 18:28,5/25/21 18:42,0,100,881,1,5/25/21 18:42,EN,1, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2, , , , ,1, , , , , , , ,1,4, , , , , , , , ,1, , , , , , , ,1,3,1,1,1,1,1, ,1,1,1,1,1,1, , ,1,"I am not on campus now. Yet, they send emails about all the above",1,2, ,1,1,1,1,1,1,1,1,1,2, , , , ,1,1, , , , , ,4, ,1,I am not sure,2, , , , , ,2,We have changed the narrative at Long Beach City College and was verbally told this was a Spanish Service institution., ,1,1, ,1, , , ,1,1,1, , , , , , , , ,5,1971,90714, ,1, , , , , ,2, ,6,1, , , , , , ,2,
558,5/25/21 18:47,5/25/21 22:20,0,100,12771,1,5/25/21 22:20,EN,1, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,3, ,1, ,1, , , , , , , , , ,1, ,2,2,1, , , , , , , , , , , , ,2,2,1,1, , , , ,1, , ,1, , , , , , ,2, ,1,1, , , , ,1, ,1,1,1,1, , , , ,1, , , , , ,4, ,2, ,2, , , , , ,1, ,1,1,1, ,1, , , ,2,1,1, , , , , , , , ,5,1994, ,1, , , , , , ,2, ,3,1, , , , , , ,0,
559,5/25/21 19:37,5/25/21 19:47,0,100,613,1,5/25/21 19:47,EN,0.8, ,0,0,10/14/1582 0:00:00,1, , ,1, , , , ,1, , , , , ,1, ,2, , , , , , , , , ,1, ,IT Banking,2,4, , , , , , , , , , , , , ,1, ,IT Banking,1,3,2,1,1,1,1,1,1, , ,1,1, , , ,1,We were remote before Covid,1,1, ,1,1,1, , , , , , ,2, , , , ,1, , , , ,1, ,4, ,1,Dozens,3, , , ,1, ,1, ,1, , , ,1, , , ,2,1,1, , , ,1, ,Work gave financial assistance to all, , ,3,1974,91764, ,1, , , , , ,1,2,6,1, , , , , , ,0,
560,5/25/21 20:04,5/25/21 20:24,0,100,1186,1,5/25/21 20:24,EN,1, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2, , , , , , , , , ,1, ,Installation of shows, ,1, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1,1,1, , , , , , ,1, , , ,3, , , ,1, , , , , , , , , , , ,1, , , ,2,1, , , , , ,1, , , ,4,1968,90220,1, , , , , , ,2, ,2,1, , , , , , ,0,
561,5/25/21 20:28,5/25/21 20:33,0,100,324,1,5/25/21 20:33,EN,1, ,0,0,10/14/1582 0:00:00,1, ,1, , , , , ,1, , , , , ,1, ,1, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5, , , , ,1, , , , , ,2, , , ,3,1, , , , , , , , , , , , ,1, ,2,3, , , , , ,1, ,1, ,3,1974,92394, ,1, , , , , ,2, ,1,1, ,1, , , , ,0,
